"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"157","Germany","Bremen",1784,1656,56,2020-07-31
"158","Germany","Hamburg",5401,5000,261,2020-07-31
"159","Germany","Hessen",11965,10800,520,2020-07-31
"160","Germany","Mecklenburg-Vorpommern",868,789,20,2020-07-31
"161","Germany","Niedersachsen",14440,13300,652,2020-07-31
"162","Germany","Nordrhein-Westfalen",48689,44151,1733,2020-07-31
"163","Germany","Rheinland-Pfalz",7516,6961,239,2020-07-31
"164","Germany","Saarland",2862,2625,174,2020-07-31
"165","Germany","Sachsen",5539,5260,225,2020-07-31
"166","Germany","Sachsen-Anhalt",2024,1872,64,2020-07-31
"167","Germany","Schleswig-Holstein",3451,3100,156,2020-07-31
"168","Germany","Thuringen",3361,3150,182,2020-07-31
"169","Germany","Unknown",1408,0,0,2020-07-31
"170","Germany","Baden-Wurttemberg",37317,34448,1847,2020-08-01
"171","Germany","Bayern",51068,47100,2622,2020-08-01
"172","Germany","Berlin",9318,8627,223,2020-08-01
"173","Germany","Brandenburg",3591,3300,173,2020-08-01
"174","Germany","Bremen",1784,1656,56,2020-08-01
"175","Germany","Hamburg",5420,5000,261,2020-08-01
"176","Germany","Hessen",12029,10900,520,2020-08-01
"177","Germany","Mecklenburg-Vorpommern",875,791,20,2020-08-01
"178","Germany","Niedersachsen",14499,13400,653,2020-08-01
"179","Germany","Nordrhein-Westfalen",49102,44417,1739,2020-08-01
"180","Germany","Rheinland-Pfalz",7533,6989,239,2020-08-01
"181","Germany","Saarland",2874,2626,174,2020-08-01
"182","Germany","Sachsen",5541,5260,225,2020-08-01
"183","Germany","Sachsen-Anhalt",2024,1872,64,2020-08-01
"184","Germany","Schleswig-Holstein",3463,3100,156,2020-08-01
"185","Germany","Thuringen",3369,3150,182,2020-08-01
"186","Germany","Unknown",1198,0,0,2020-08-01
"187","Germany","Baden-Wurttemberg",37317,34448,1847,2020-08-02
"188","Germany","Bayern",51080,47200,2622,2020-08-02
"189","Germany","Berlin",9327,8658,223,2020-08-02
"190","Germany","Brandenburg",3592,3300,173,2020-08-02
"191","Germany","Bremen",1784,1656,56,2020-08-02
"192","Germany","Hamburg",5435,5000,261,2020-08-02
"193","Germany","Hessen",12117,11000,520,2020-08-02
"194","Germany","Mecklenburg-Vorpommern",877,792,20,2020-08-02
"195","Germany","Niedersachsen",14524,13400,653,2020-08-02
"196","Germany","Nordrhein-Westfalen",49145,44417,1739,2020-08-02
"197","Germany","Rheinland-Pfalz",7535,7016,239,2020-08-02
"198","Germany","Saarland",2879,2629,174,2020-08-02
"199","Germany","Sachsen",5541,5260,225,2020-08-02
"200","Germany","Sachsen-Anhalt",2030,1872,64,2020-08-02
"201","Germany","Schleswig-Holstein",3463,3100,156,2020-08-02
"202","Germany","Thuringen",3370,3160,182,2020-08-02
"203","Germany","Unknown",1204,0,0,2020-08-02
"204","Germany","Baden-Wurttemberg",37463,34616,1847,2020-08-03
"205","Germany","Bayern",51217,47300,2622,2020-08-03
"206","Germany","Berlin",9366,8705,223,2020-08-03
"207","Germany","Brandenburg",3593,3350,173,2020-08-03
"208","Germany","Bremen",1789,1664,56,2020-08-03
"209","Germany","Hamburg",5443,5000,261,2020-08-03
"210","Germany","Hessen",12142,11000,520,2020-08-03
"211","Germany","Mecklenburg-Vorpommern",880,793,20,2020-08-03
"212","Germany","Niedersachsen",14567,13436,653,2020-08-03
"213","Germany","Nordrhein-Westfalen",49435,44620,1739,2020-08-03
"214","Germany","Rheinland-Pfalz",7543,7027,239,2020-08-03
"215","Germany","Saarland",2881,2632,174,2020-08-03
"216","Germany","Sachsen",5543,5270,225,2020-08-03
"217","Germany","Sachsen-Anhalt",2036,1892,64,2020-08-03
"218","Germany","Schleswig-Holstein",3494,3129,156,2020-08-03
"219","Germany","Thuringen",3371,3160,182,2020-08-03
"220","Germany","Unknown",1348,0,0,2020-08-03
"221","Germany","Baden-Wurttemberg",37522,34700,1847,2020-08-04
"222","Germany","Bayern",51279,47400,2623,2020-08-04
"223","Germany","Berlin",9398,8748,223,2020-08-04
"224","Germany","Brandenburg",3601,3400,173,2020-08-04
"225","Germany","Bremen",1793,1673,56,2020-08-04
