"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"189","Switzerland","",25107,12100,1036,2020-04-11
"190","United Kingdom","",78991,344,9875,2020-04-11
"191","United Kingdom","Anguilla",3,0,0,2020-04-12
"192","United Kingdom","Bermuda",57,29,4,2020-04-12
"193","United Kingdom","British Virgin Islands",3,2,0,2020-04-12
"194","United Kingdom","Cayman Islands",53,6,1,2020-04-12
"195","United Kingdom","Channel Islands",431,48,9,2020-04-12
"196","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-12
"197","United Kingdom","Gibraltar",129,84,0,2020-04-12
"198","United Kingdom","Isle of Man",228,112,2,2020-04-12
"199","United Kingdom","Montserrat",9,0,0,2020-04-12
"200","United Kingdom","Turks and Caicos Islands",9,0,1,2020-04-12
"201","Germany","",127854,60300,3022,2020-04-12
"202","Italy","",156363,34211,19899,2020-04-12
"203","Switzerland","",25415,12700,1106,2020-04-12
"204","United Kingdom","",84279,344,10612,2020-04-12
"205","United Kingdom","Anguilla",3,1,0,2020-04-13
"206","United Kingdom","Bermuda",57,30,5,2020-04-13
"207","United Kingdom","British Virgin Islands",3,2,0,2020-04-13
"208","United Kingdom","Cayman Islands",53,6,1,2020-04-13
"209","United Kingdom","Channel Islands",436,48,9,2020-04-13
"210","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-13
"211","United Kingdom","Gibraltar",129,84,0,2020-04-13
"212","United Kingdom","Isle of Man",242,131,2,2020-04-13
"213","United Kingdom","Montserrat",11,1,0,2020-04-13
"214","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-13
"215","Germany","",130072,64300,3194,2020-04-13
"216","Italy","",159516,35435,20465,2020-04-13
"217","Switzerland","",25688,13700,1138,2020-04-13
"218","United Kingdom","",88621,0,11329,2020-04-13
"219","United Kingdom","Anguilla",3,1,0,2020-04-14
"220","United Kingdom","Bermuda",57,30,5,2020-04-14
"221","United Kingdom","British Virgin Islands",3,2,0,2020-04-14
"222","United Kingdom","Cayman Islands",54,6,1,2020-04-14
"223","United Kingdom","Channel Islands",440,48,13,2020-04-14
"224","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-14
"225","United Kingdom","Gibraltar",129,93,0,2020-04-14
"226","United Kingdom","Isle of Man",254,141,2,2020-04-14
"227","United Kingdom","Montserrat",11,1,0,2020-04-14
"228","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-14
"229","Germany","",131359,68200,3294,2020-04-14
"230","Italy","",162488,37130,21067,2020-04-14
"231","Switzerland","",25936,13700,1174,2020-04-14
"232","United Kingdom","",93873,0,12107,2020-04-14
"233","United Kingdom","Anguilla",3,1,0,2020-04-15
"234","United Kingdom","Bermuda",81,33,5,2020-04-15
"235","United Kingdom","British Virgin Islands",3,2,0,2020-04-15
"236","United Kingdom","Cayman Islands",54,6,1,2020-04-15
"237","United Kingdom","Channel Islands",447,69,15,2020-04-15
"238","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-15
"239","United Kingdom","Gibraltar",131,104,0,2020-04-15
"240","United Kingdom","Isle of Man",256,151,4,2020-04-15
"241","United Kingdom","Montserrat",11,1,0,2020-04-15
"242","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-15
"243","Germany","",134753,72600,3804,2020-04-15
"244","Italy","",165155,38092,21645,2020-04-15
"245","Switzerland","",26336,15400,1239,2020-04-15
"246","United Kingdom","",98476,0,12868,2020-04-15
"247","United Kingdom","Anguilla",3,1,0,2020-04-16
"248","United Kingdom","Bermuda",81,33,5,2020-04-16
"249","United Kingdom","British Virgin Islands",3,2,0,2020-04-16
"250","United Kingdom","Cayman Islands",60,6,1,2020-04-16
"251","United Kingdom","Channel Islands",457,73,19,2020-04-16
"252","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-16
"253","United Kingdom","Gibraltar",131,104,0,2020-04-16
"254","United Kingdom","Isle of Man",284,154,4,2020-04-16
"255","United Kingdom","Montserrat",11,1,0,2020-04-16
"256","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-16
"257","Germany","",137698,77000,4052,2020-04-16
"258","Italy","",168941,40164,22170,2020-04-16
"259","Switzerland","",26732,15900,1281,2020-04-16
"260","United Kingdom","",103093,0,13729,2020-04-16
